Date / Time,Seconds taken,Kbps,Download size (bytes)
2016-03-19 01:58:35.679000,1.219,19625.0,3062059
2016-03-19 02:03:37.658000,1.251,19123.0,3062059
2016-03-19 02:08:38.042000,1.234,19386.0,3062059
2016-03-19 02:13:39.557000,1.407,17002.0,3062059
2016-03-19 02:18:39.845000,1.219,19625.0,3062059
2016-03-19 02:23:41.176000,1.25,19138.0,3062059
2016-03-19 02:28:42.097000,1.375,17398.0,3062059
2016-03-19 02:33:43.011000,1.218,19641.0,3062059
2016-03-19 02:38:43.691000,1.22,19608.0,3062059
2016-03-19 02:43:44.729000,1.234,19386.0,3062059
2016-03-19 02:48:45.871000,1.235,19370.0,3062059
2016-03-19 02:53:46.722000,1.235,19370.0,3062059
2016-03-19 02:58:47.740000,1.218,19641.0,3062059
2016-03-19 03:03:49.802000,1.266,18896.0,3062059
2016-03-19 03:08:49.757000,1.219,19625.0,3062059
2016-03-19 03:13:50.746000,1.531,15625.0,3062059
2016-03-19 03:18:51.776000,1.391,17198.0,3062059
2016-03-19 03:23:52.790000,1.375,17398.0,3062059
2016-03-19 03:28:53.795000,1.406,17014.0,3062059
2016-03-19 03:33:54.779000,1.562,15315.0,3062059
2016-03-19 03:38:55.801000,1.407,17002.0,3062059
2016-03-19 03:43:56.845000,1.391,17198.0,3062059
2016-03-19 03:48:57.800000,1.375,17398.0,3062059
2016-03-19 03:53:58.786000,1.407,17002.0,3062059
2016-03-19 03:58:59.884000,1.391,17198.0,3062059
2016-03-19 04:04:00.820000,1.375,17398.0,3062059
2016-03-19 04:09:01.864000,1.391,17198.0,3062059
2016-03-19 04:14:02.842000,1.422,16823.0,3062059
2016-03-19 04:19:04.910000,1.547,15464.0,3062059
2016-03-19 04:24:04.865000,1.344,17799.0,3062059
2016-03-19 04:29:06.087000,1.391,17198.0,3062059
2016-03-19 04:34:07.890000,1.422,16823.0,3062059
2016-03-19 04:39:07.957000,1.36,17590.0,3062059
2016-03-19 04:44:08.848000,1.391,17198.0,3062059
2016-03-19 04:49:17.666000,2.328,10276.0,3062059
2016-03-19 04:54:10.905000,1.39,17210.0,3062059
2016-03-19 04:59:11.919000,1.391,17198.0,3062059
2016-03-19 05:04:12.912000,1.39,17210.0,3062059
2016-03-19 05:09:13.912000,1.407,17002.0,3062059
2016-03-19 05:14:14.882000,1.392,17186.0,3062059
2016-03-19 05:19:15.905000,1.39,17210.0,3062059
2016-03-19 05:24:16.924000,1.406,17014.0,3062059
2016-03-19 05:29:17.916000,1.391,17198.0,3062059
2016-03-19 05:34:18.931000,1.36,17590.0,3062059
2016-03-19 05:39:19.946000,1.406,17014.0,3062059
2016-03-19 05:44:20.943000,1.407,17002.0,3062059
2016-03-19 05:49:21.996000,1.406,17014.0,3062059
2016-03-19 05:54:22.977000,1.406,17014.0,3062059
2016-03-19 05:59:23.999000,1.531,15625.0,3062059
2016-03-19 06:04:25.018000,1.469,16285.0,3062059
2016-03-19 06:09:26.022000,1.375,17398.0,3062059
2016-03-19 06:14:26.977000,1.407,17002.0,3062059
2016-03-19 06:19:27.999000,1.313,18220.0,3062059
2016-03-19 06:24:29.987000,1.531,15625.0,3062059
2016-03-19 06:29:30.007000,1.375,17398.0,3062059
2016-03-19 06:34:31.025000,1.406,17014.0,3062059
2016-03-19 06:39:31.998000,1.36,17590.0,3062059
2016-03-19 06:44:33.026000,1.406,17014.0,3062059
2016-03-19 06:49:34.051000,1.36,17590.0,3062059
2016-03-19 06:54:35.038000,1.406,17014.0,3062059
2016-03-19 06:59:36.057000,1.233,19402.0,3062059
2016-03-19 07:04:37.033000,1.234,19386.0,3062059
